path	owner	responsibility	worktree_state	sha256	dependency_contract	error_security_review	decision	evidence
.dockerignore	delivery	container build exclusion policy	final-existing	bc1d767cd9b7fa3d868873a5ce6f96b3138e47849d5ee5ee799a4b28de627eec	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	no-violation	unittest 31/31; compileall; diff-check; live API/UI and final-tree verification
api/__init__.py	api	HTTP routing and request boundary	final-existing	de1b628ef37b3d0284daf7518cc57353e3c87bcd2ed23ae6844e3f6282c7e3e4	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 31/31; compileall; diff-check; live API/UI and final-tree verification
api/datasources.py	api	HTTP routing and request boundary	final-existing	bb3d4f1d831beec738c58964e1cfd91dc5334ad29655958351aa7adb1f3f118c	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 31/31; compileall; diff-check; live API/UI and final-tree verification
api/graph_connection.py	api	HTTP routing and request boundary	final-existing	a7610d946c5b8a4838354a45cbd93c49f8cc619f90e36e1a5875f293ec0a02b5	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 31/31; compileall; diff-check; live API/UI and final-tree verification
api/query.py	api	HTTP routing and request boundary	final-existing	72ef324a4e54d2ed9411ede9a8f6881d37b3e78a02f0800f89c924220f2d4ef3	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 31/31; compileall; diff-check; live API/UI and final-tree verification
api/tables.py	api	HTTP routing and request boundary	final-existing	19160fcb6260e1cf5eb4fe8b1fd55d256fa4f2070e24f68dca8ebdbb5b17e36c	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 31/31; compileall; diff-check; live API/UI and final-tree verification
contracts/__init__.py	contracts	public request/response contract	final-existing	5cfb4aca9cee1cde525fbc1b6f30094cbb519fe2ab6aecd43969b823dc8c74fa	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	no-violation	unittest 31/31; compileall; diff-check; live API/UI and final-tree verification
contracts/datasources.py	contracts	public request/response contract	final-existing	40ab29a6d17e5188daa3ff9a9c85c767bf04dfb2afdccabbee94719eb90670ae	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 31/31; compileall; diff-check; live API/UI and final-tree verification
contracts/query.py	contracts	public request/response contract	final-existing	fbb0914420b2f49fddd594313a822556968a640c6a10ff8e0a14c0ef8d603773	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 31/31; compileall; diff-check; live API/UI and final-tree verification
credentials/__init__.py	credentials	credential validation and storage boundary	final-existing	61e09e307fc4184c2fcc9cc68f4dbcf39136207a312045b37269fe53f556ea74	final-tree imports compiled; public boundary regression covered	fail-closed errors, secret redaction, graph-owner/query boundary reviewed	fixed	unittest 31/31; compileall; diff-check; live API/UI and final-tree verification
