path	responsibility	producer	consumer	maintainability_dry_naming	dependencies_contracts	errors_operations	performance_security_generality	docs_tests	decision	evidence
.gitignore	repository ignore policy	Git	developers and CI	single current path; obsolete UI/deploy wording removed	matches actual requirements, package structure, and API boundary	startup/config behavior is explicit; failures not silently ignored	no embedded application secret or sample-specific branch	README commands, compile, OpenAPI, and unit contracts inspected	no-violation	current file content inspected in R1B audit
README.md	supported service contract and runbook	maintainer	developers/operators	single current path; obsolete UI/deploy wording removed	matches actual requirements, package structure, and API boundary	startup/config behavior is explicit; failures not silently ignored	no embedded application secret or sample-specific branch	README commands, compile, OpenAPI, and unit contracts inspected	fixed	current file content inspected in R1B audit
README_UI.md	removed demo, sample data, or internal deployment artifact	former local tutorial/sample workflow	no production runtime consumer	lab-only workflow removed from service root	not imported by backend or central UI	removes misleading alternate startup/deploy path	removes fixed sample credentials and dataset-specific behavior	static consumer search 0; README now documents supported runtime	deleted	goal-approved experiment and internal deploy cleanup
backend/.dockerignore	container build exclusion policy	Docker build	Docker daemon	single current path; obsolete UI/deploy wording removed	matches actual requirements, package structure, and API boundary	startup/config behavior is explicit; failures not silently ignored	no embedded application secret or sample-specific branch	README commands, compile, OpenAPI, and unit contracts inspected	no-violation	current file content inspected in R1B audit
backend/Dockerfile	backend container build	container builder	external deploy project	single current path; obsolete UI/deploy wording removed	matches actual requirements, package structure, and API boundary	startup/config behavior is explicit; failures not silently ignored	no embedded application secret or sample-specific branch	README commands, compile, OpenAPI, and unit contracts inspected	fixed	current file content inspected in R1B audit
backend/app/__init__.py	application package marker	Python import system	all app modules	single current path; obsolete UI/deploy wording removed	matches actual requirements, package structure, and API boundary	startup/config behavior is explicit; failures not silently ignored	no embedded application secret or sample-specific branch	README commands, compile, OpenAPI, and unit contracts inspected	no-violation	current file content inspected in R1B audit
backend/app/connections/__init__.py	external connection adapter or request-scoped Neo4j context	HTTP endpoints and process lifecycle	datasource/query endpoints	one adapter per external boundary; explicit registry/gateway names	Neo4j registry and MindsDB API isolated behind stable methods	driver close, timeouts, compensation inputs, and failure results are explicit	driver cache; identifier escaping; DataSource credentials excluded from registry	unit contracts plus compile and OpenAPI checks	fixed	spec 002 connection boundary implementation
backend/app/connections/datasource_registry.py	external connection adapter or request-scoped Neo4j context	HTTP endpoints and process lifecycle	datasource/query endpoints	one adapter per external boundary; explicit registry/gateway names	Neo4j registry and MindsDB API isolated behind stable methods	driver close, timeouts, compensation inputs, and failure results are explicit	driver cache; identifier escaping; DataSource credentials excluded from registry	unit contracts plus compile and OpenAPI checks	fixed	spec 002 connection boundary implementation
backend/app/connections/mindsdb_gateway.py	external connection adapter or request-scoped Neo4j context	HTTP endpoints and process lifecycle	datasource/query endpoints	one adapter per external boundary; explicit registry/gateway names	Neo4j registry and MindsDB API isolated behind stable methods	driver close, timeouts, compensation inputs, and failure results are explicit	driver cache; identifier escaping; DataSource credentials excluded from registry	unit contracts plus compile and OpenAPI checks	fixed	spec 002 connection boundary implementation
backend/app/connections/neo4j_context.py	external connection adapter or request-scoped Neo4j context	HTTP endpoints and process lifecycle	datasource/query endpoints	one adapter per external boundary; explicit registry/gateway names	Neo4j registry and MindsDB API isolated behind stable methods	driver close, timeouts, compensation inputs, and failure results are explicit	driver cache; identifier escaping; DataSource credentials excluded from registry	unit contracts plus compile and OpenAPI checks	fixed	spec 002 connection boundary implementation
backend/app/contracts/__init__.py	public request/response schema	FastAPI validation	HTTP endpoints and OpenAPI clients	API contracts separated from persistence models	connector names and response secret exclusion are explicit	invalid names fail at request validation	generic engine string; mutable defaults avoided	OpenAPI and saga tests	fixed	contract simplification and duplicate type catalog removal
backend/app/contracts/datasource_api.py	public request/response schema	FastAPI validation	HTTP endpoints and OpenAPI clients	API contracts separated from persistence models	connector names and response secret exclusion are explicit	invalid names fail at request validation	generic engine string; mutable defaults avoided	OpenAPI and saga tests	fixed	contract simplification and duplicate type catalog removal
backend/app/contracts/query_api.py	public request/response schema	FastAPI validation	HTTP endpoints and OpenAPI clients	API contracts separated from persistence models	connector names and response secret exclusion are explicit	invalid names fail at request validation	generic engine string; mutable defaults avoided	OpenAPI and saga tests	fixed	contract simplification and duplicate type catalog removal
backend/app/http/__init__.py	public Data Fabric HTTP boundary	FastAPI request and dependency injection	central frontend, Catalog client, operators	connection/query endpoint responsibilities separated	removed metadata/ML demo endpoints; preserved CRUD/table/schema/sample/query	sanitized failures and create compensation; bounded sample limit	credentials only forwarded to MindsDB; no secret logging	OpenAPI removed/required route contract	fixed	HTTP surface contract and 22-test suite pass
backend/app/http/datasource_endpoints.py	public Data Fabric HTTP boundary	FastAPI request and dependency injection	central frontend, Catalog client, operators	connection/query endpoint responsibilities separated	removed metadata/ML demo endpoints; preserved CRUD/table/schema/sample/query	sanitized failures and create compensation; bounded sample limit	credentials only forwarded to MindsDB; no secret logging	OpenAPI removed/required route contract	fixed	HTTP surface contract and 22-test suite pass
backend/app/http/query_endpoints.py	public Data Fabric HTTP boundary	FastAPI request and dependency injection	central frontend, Catalog client, operators	connection/query endpoint responsibilities separated	removed metadata/ML demo endpoints; preserved CRUD/table/schema/sample/query	sanitized failures and create compensation; bounded sample limit	credentials only forwarded to MindsDB; no secret logging	OpenAPI removed/required route contract	fixed	HTTP surface contract and 22-test suite pass
backend/app/main.py	FastAPI composition root	process startup	HTTP server	single current path; obsolete UI/deploy wording removed	matches actual requirements, package structure, and API boundary	startup/config behavior is explicit; failures not silently ignored	no embedded application secret or sample-specific branch	README commands, compile, OpenAPI, and unit contracts inspected	fixed	current file content inspected in R1B audit
backend/app/queries/__init__.py	datasource-scoped read-only SQL policy and query construction	query HTTP boundary	MindsDB gateway	one policy module owns scanning, validation, and bounded wrapping	accepts target-database SQL and emits the sole MindsDB native wrapper	rejects malformed, mutating, multi-statement, and structurally unbalanced input	enforces datasource allowlist, 1..1000 row bounds, and read-only shape	adversarial scanner tests plus live valid/rejected/timeout query evidence	fixed	spec 002 read-only query boundary implementation
backend/app/queries/read_only_sql.py	datasource-scoped read-only SQL policy and query construction	query HTTP boundary	MindsDB gateway	one policy module owns scanning, validation, and bounded wrapping	accepts target-database SQL and emits the sole MindsDB native wrapper	rejects malformed, mutating, multi-statement, and structurally unbalanced input	enforces datasource allowlist, 1..1000 row bounds, and read-only shape	adversarial scanner tests plus live valid/rejected/timeout query evidence	fixed	spec 002 read-only query boundary implementation
backend/app/routers/__init__.py	superseded ambiguous technical-layer path	git-moved during spec 002	all imports moved to http/contracts/connections	responsibility-bearing name replaces routers/schemas/services	public HTTP shape preserved except explicitly retired endpoints	move verified by imports and compile	no compatibility mirror retained	rg old imports 0; 22 tests pass	deleted	git mv history maps to final responsibility package
backend/app/routers/datasources.py	superseded ambiguous technical-layer path	git-moved during spec 002	all imports moved to http/contracts/connections	responsibility-bearing name replaces routers/schemas/services	public HTTP shape preserved except explicitly retired endpoints	move verified by imports and compile	no compatibility mirror retained	rg old imports 0; 22 tests pass	deleted	git mv history maps to final responsibility package
backend/app/routers/query.py	superseded ambiguous technical-layer path	git-moved during spec 002	all imports moved to http/contracts/connections	responsibility-bearing name replaces routers/schemas/services	public HTTP shape preserved except explicitly retired endpoints	move verified by imports and compile	no compatibility mirror retained	rg old imports 0; 22 tests pass	deleted	git mv history maps to final responsibility package
backend/app/schemas/__init__.py	superseded ambiguous technical-layer path	git-moved during spec 002	all imports moved to http/contracts/connections	responsibility-bearing name replaces routers/schemas/services	public HTTP shape preserved except explicitly retired endpoints	move verified by imports and compile	no compatibility mirror retained	rg old imports 0; 22 tests pass	deleted	git mv history maps to final responsibility package
backend/app/schemas/datasource.py	superseded ambiguous technical-layer path	git-moved during spec 002	all imports moved to http/contracts/connections	responsibility-bearing name replaces routers/schemas/services	public HTTP shape preserved except explicitly retired endpoints	move verified by imports and compile	no compatibility mirror retained	rg old imports 0; 22 tests pass	deleted	git mv history maps to final responsibility package
backend/app/schemas/query.py	superseded ambiguous technical-layer path	git-moved during spec 002	all imports moved to http/contracts/connections	responsibility-bearing name replaces routers/schemas/services	public HTTP shape preserved except explicitly retired endpoints	move verified by imports and compile	no compatibility mirror retained	rg old imports 0; 22 tests pass	deleted	git mv history maps to final responsibility package
backend/app/services/__init__.py	superseded ambiguous technical-layer path	git-moved during spec 002	all imports moved to http/contracts/connections	responsibility-bearing name replaces routers/schemas/services	public HTTP shape preserved except explicitly retired endpoints	move verified by imports and compile	no compatibility mirror retained	rg old imports 0; 22 tests pass	deleted	git mv history maps to final responsibility package
backend/app/services/connection_context.py	superseded ambiguous technical-layer path	git-moved during spec 002	all imports moved to http/contracts/connections	responsibility-bearing name replaces routers/schemas/services	public HTTP shape preserved except explicitly retired endpoints	move verified by imports and compile	no compatibility mirror retained	rg old imports 0; 22 tests pass	deleted	git mv history maps to final responsibility package
backend/app/services/mindsdb_service.py	superseded ambiguous technical-layer path	git-moved during spec 002	all imports moved to http/contracts/connections	responsibility-bearing name replaces routers/schemas/services	public HTTP shape preserved except explicitly retired endpoints	move verified by imports and compile	no compatibility mirror retained	rg old imports 0; 22 tests pass	deleted	git mv history maps to final responsibility package
backend/app/services/neo4j_service.py	superseded ambiguous technical-layer path	git-moved during spec 002	all imports moved to http/contracts/connections	responsibility-bearing name replaces routers/schemas/services	public HTTP shape preserved except explicitly retired endpoints	move verified by imports and compile	no compatibility mirror retained	rg old imports 0; 22 tests pass	deleted	git mv history maps to final responsibility package
backend/app/services/schema_introspection.py	removed LLM-free metadata extraction and Neo4j writer	former extraction endpoints	former standalone/central extraction UI; both removed	Catalog-overlapping responsibility removed	Schema/Table/Column writer and SSE contracts retired end-to-end	removes silent partial extraction and plaintext credential update paths	removes DB-driver fanout, raw SQL construction, and credential persistence	HTTP removed-surface test and rg consumer-zero evidence	deleted	metadata vertical slice removed with asyncpg/aiomysql/pymysql
backend/app/services/test_connection_context.py	superseded ambiguous technical-layer path	git-moved during spec 002	all imports moved to http/contracts/connections	responsibility-bearing name replaces routers/schemas/services	public HTTP shape preserved except explicitly retired endpoints	move verified by imports and compile	no compatibility mirror retained	rg old imports 0; 22 tests pass	deleted	git mv history maps to final responsibility package
backend/app/system/__init__.py	system package marker	Python import system	settings importers	single current path; obsolete UI/deploy wording removed	matches actual requirements, package structure, and API boundary	startup/config behavior is explicit; failures not silently ignored	no embedded application secret or sample-specific branch	README commands, compile, OpenAPI, and unit contracts inspected	no-violation	current file content inspected in R1B audit
